Article Title,Abstract,Author1,Author2
Influence of moonlight on the foraging behaviour of the Indian short-nosed fruit bat Cynopterus sphinx: Radio-telemetry studies,"The foraging activity of the Indian short-nosed fruit bat, Cynopterus sphinx was studied using radiotelemetry. The foraging activity gets modulated with different phases of the moon. During bright moonlit nights these frugivorous bats exhibit less activity as against that during new moon nights.",1,1
Bat roosts in Tasmania's production forest landscapes: importance of mature forest for maternity roosts,"Mature forest is a key resource for hollow-using bats, but its importance in shaping where bats roost during breeding is not well understood. This lack of understanding limits the ability of forest managers to make informed decisions on the type, amount and spatial arrangement of mature forest to retain for bats in areas used for timber production. Using radio-telemetry, day roosts of three sympatric hollow-using bat species - the chocolate wattled bat (Chalinolobus morio), the Tasmanian long-eared bat (Nyctophilus sherrini) and the lesser long-eared bat (Nyctophilus geoffroyi) - were located in two forested landscapes in south-eastern Tasmania, Australia. By radio-tracking 24 bats in the maternity season, 76 roosts were located, with interspecific variation in roosting preferences evident at the roost, patch and landscape scale. Maternal colonies showed a clear selection for roosting in areas of the landscape containing the highest availability of mature forest, with smaller patches, strips and individual trees used to a greater extent for roosting in the landscape where mature forest was scarce. These findings showcase the importance of retaining mature forest at multiple spatial scales for hollow-using bats.",1,1
"Habitat use by bats, Myotis spp., in western Newfoundland","Bat diversity and activity patterns were monitored using mist-nets and bat detectors, and roosting habitat was investigated using radio-telemetry in western Newfoundland during June-Angust 1995. Of the three species of bat known to occur in Newfoundland (Lasiurus cinereus, Myotis lucifugus, and M. seprentrionalis), only the latter two were detected or captured. Myotis bats were recorded with detectors at 87% of the riparian sample sites, although at relatively low levels (mean of 19.4 commuting passes/hr). These detector results suggest that myotis bats are ubiquitous, yet not very abundant in western Newfoundland. Most captures were of M lucifugus (66%, n = 30), yet M, septentrionalis appear to be more common than previously thought, representing 34% (n = 15) of the captures. Myotis bats roosted in holes (n = 4), in cracks (n = 2), and under loose bark (n = 2) of standing dead trees, generally close to cutblock edges and sources of water (presumably foraging sites). Compared to those trees available (based on random transects in cutblocks and forests), bats did not appear to select roost trees based on many of the characteristics I measured (% bark remaining, diameter at breast height, stand slope, or species group (deciduous or conifer)). However, bats tended to select roost trees of smaller height classes (0-5 and 11-15 m) and with greater numbers of cavities than those available. Because most roosts were located along edge habitat, forest harvesting may increase accessibility to roosts for some bats by creating corridors and openings through the forest. However, it is still unclear how habitat fragmentation and loss of forested areas may affect but populations.",1,1
Importance of urban trees and buildings as daytime roosts for bats,"Roosts are a very important resource for bats, and often play a central role in conservation projects. To evaluate the feasibility of identifying urban bat roosts, we trapped 30 individual bats from seven species, attached radio transmitters and located their daytime roosts. This enabled us to build hypothesis on the importance of trees and buildings as daytime roosts for urban bats. None of the captured animals were reproducing or lactating, so we assumed all recorded roosts to be simple daytime roosts. Of the 30 marked bats, 18 individuals (six species) could be monitored, and a total of 114 roosts were located; 57 of which were in trees, and another 57 in buildings. Our results indicate that neither building condition nor green coverage in the immediate (<= 20 m) surroundings of a building was a significant predictor for the presence of roosts in or on a building. For tree roosts, diameter at breast height (DBH) was the most important factor determining the choice of tree roosts, but was found insignificant in a Generalized Linear Mixed Model. We presume that the lack of significance regarding green coverage and DBH in the model can be explained by the limited sample size of our study.",1,1
Using on-board sound recordings to infer behaviour of free-moving wild animals,"Technological advances in the last 20 years have enabled researchers to develop increasingly sophisticated miniature devices (tags) that record an animal's behaviour not from an observational, external viewpoint, but directly on the animals themselves. So far, behavioural research with these tags has mostly been conducted using movement or acceleration data. But on-board audio recordings have become more and more common following pioneering work in marine mammal research. The first questions that come to mind when recording sound on-board animals concern their vocal behaviour. When are they calling? How do they adjust their behaviour? What acoustic parameters do they change and how? However, other topics like foraging behaviour, social interactions or environmental acoustics can now be addressed as well and offer detailed insight into the animals' daily life. In this Review, we discuss the possibilities, advantages and limitations of on-board acoustic recordings. We focus primarily on bats as their active-sensing, echolocating lifestyle allows many approaches to a multi-faceted acoustic assessment of their behaviour. The general ideas and concepts, however, are applicable to many animals and hopefully will demonstrate the versatility of on-board acoustic recordings and stimulate new research.",0,0
Tree selection and landscape analysis of eastern red bat day roosts,"Declining bat populations and increasing demands on forest resources have prompted researchers to investigate tree roost selection of forest bats. Few studies, however, have investigated different spatial scales and landscape pattern as criteria for selection of tree roosts. In 1999 and 2000, we radiotracked 23 eastern red bats (Lasiurus borealis) to 64 day roosts. Using univariate and multivariate comparisons, we tested roost tree variables with random tree data at 3 circular spatial scales: roost tree, plot, and landscape. We found 15 variables that were entered in a stepwise discriminant analysis to best differentiate between the roost and random samples; 11 (73.3%) were landscape variables measured with a geographic information system. On average (x +/- SE), red bats roosted in deciduous trees (42.0 +/- 2.1 cm dbh) that were located in plots with more (3.1 +/- 0.1 m(2)) basal area, higher (84.0 +/- 1.3) percentage of canopy closure, and lower (27.2 +/- 2.2) percentage of groundcover than random plots. At the landscape scale (by percent magnitude), red bat buffers (1,000-m-radius circle) had significantly less development (81.6%), less feeding operations (70.4%), more deciduous (52.9%) and pine forest (63.8%), and fewer local roads (5.4%) but more trails (94.1%), open water (61.4%), wetland areas (80.4%), and stream areas (63.1%) than random buffers. Red bat roost trees were significantly closer (chi(2) = 22.0088, df = 1, P <= 0.001) to trails (106.2 +/- 13.3 m) than to streams (279.4 +/- 28.5 m). Our results suggest that red bats in our study area select roosts in mature riparian forests near trails, open water, and wetlands. The high percentage of landscape values in the discriminant analysis lends support to using landscape metrics as an investigative technique of resource selection. We recommend that managers consider landscape factors when protecting red bat day-roost habitat.",1,1
Aspen Populus tremula is a key habitat for tree-dwelling bats in boreonemoral and south boreal woodlands in Norway,"This study aims to identify which tree species bats use as maternity roosts in woodland in southern Norway and, to assess the effectiveness of bat boxes as potential mitigating measures if roosts are lost to forestry or other factors. Radio telemetry was used to find roosts in summer during late pregnancy and through the lactation period by tagging two common species; Daubenton's bats Myotis daubentonii (Kuhl 1817) and soprano pipistrelles Pipistrellus pygmaeus (Leach 1825). In addition, tree roosts were searched using ultrasound detectors at three sites. A total of 35 roosts in natural crevices were found using radio telemetry and through searches with ultrasound detectors and 31 of these roosts were in hollow trees, the majority in aspens Populus tremula L. (n=30). Some tree roosts were even used by the northern bat Epteskus nilssonii (Keyserling & Blasius 1839) which is considered a house-dwelling species in Norway. Aspens have some qualities preferred by bats and were both warmer and safer than other hollow tree species in this study area. Bat boxes are used as maternity roosts mainly by soprano pipistrelles at these latitudes, thus at present, there is no suitable alternative to hollow trees that would satisfy all tree-dwelling bat species.",1,1
"Swarming behaviour, catchment area and seasonal movement patterns of the Bechstein's bats: implications for conservation","Bats display marked seasonality throughout the temperate zone and use different habitats during different parts of the year. Unfortunately, detailed information regarding seasonal distribution and movements is often lacking, thereby hampering the development of adequate conservation measures. In this study we used radio telemetry to track females of the endangered Bechstein's bat (Myotis bechsteinii) from autumn swarming sites to their summer maternity colony ranges. We were able to tag 22 individuals, 18 of which were subsequently recovered at nine roost sites up to 20.6 km away. Females from multiple colonies visited the same swarming site on a single night. Concurrently, we recovered females from a single maternity colony at different swarming sites on the same night. The catchment area of the investigated swarming sites measured 27.1 km(2), and was skewed to the northwest. Tagged bats were recovered in forest fragments ranging in size from 5.42 to 128.98 ha. Notably, all but one of the recovered roosts were found in forests that have been continuously wooded since at least 1775. Surveys during the summer at these sites confirmed the presence of maternity colonies at six out of seven locations that could be investigated. Our study contributes to our understanding of swarming behavior and seasonal movement patterns, and exemplifies how these can be used to complete the year-round habitat use of bat species.",1,1
Diet and prey selection in the trawling long-fingered bat,"The diet of the long-fingered bat Myotis capaccinii is poorly known, and there is no previously recorded information on this species' prey preferences. To investigate these subjects, we captured 51 individuals at a nursery cave in the Iberian Peninsula, from pre-breeding to post-lactation seasons. Each bat's diet composition was assessed by faecal content analysis and its foraging places (rivers, pools and channels) identified by radio-telemetry. To estimate prey availability, we sampled arthropods in the individual bats' identified foraging places and also emulated the bats' hunting technique. The bats' diet comprised of arthropods, dominated by small insects with aquatic larvae and flying adult phases. The most consumed taxon was Nematocera (mainly Chironomidae), including adults and pupae, which were also found to be the most abundant prey over water. Other frequently consumed prey were brachycerans, lepidopterans, arachnids, trichopterans and neuropterans. Diet proportions were compared with prey availability to infer a rank of preferences. The preferred prey were lepidopterans and arachnids, both having a terrestrial life cycle and a bigger size than any other taxa consumed. Without discarding the possible underestimation of prey's aerial availability, the observed preference pattern seems to be a consequence of selection for size more than for specific taxa. Apparently M. capaccinii efficiently exploit water-related prey according to availability when the bats hunt low over the water's surface, and are also able to take more profitable prey found higher in the air.",1,1
Triacylglyceride (TAG) profiles of integumentary lipids isolated from three bat species determined by matrix-assisted laser desorption-ionization time-of-flight mass spectrometry (MALDI-TOF MS),"Lipids secreted from sebaceous glands in bat integument may play a role in determining host pathogenicity by the fungus Geomyces destructans in white-nose syndrome (WNS). To investigate this, we have determined the triacylglycerol (TAG) profiles for three bat species: eastern red bats (Lasiurus borealis (Muller, 1776)), evening bats (Nycticeius humeralis (Rafinesque, 1818)), and big brown bats (Eptesicus fuscus (Beauvois, 1796)). Neutral lipids extracted from the hair and wing tissue were fractionated by preparative thin-layer chromatography (TLC) into four major lipid bands corresponding to cholesterol, free fatty acids (FFAs), TAGs, and sterol wax esters. Densitometry showed higher proportions of TAGs in hair than from wing tissue. TAG bands were recovered and analyzed by matrix-assisted laser desorption ionization time-of-flight mass spectrometry (MALDI-TOF MS). Mass spectra showed sodiated TAG species with variable fatty acyl (FA) moieties range from m/z 715.6-911.8. High intensity ion peaks were consistent with 16:0 and 18:1 as dominant FA moieties, and these were identified as palmitic and oleic acids, respectively, by liquid chromatography electrospray ionization mass spectrometry. We determined significant differences in TAG profiles between three bat species by MALDI-TOF MS, providing the first description of integumentary lipids in bats. In this study, we performed the first TAG profiling of bats, which suggest such profiles may be species-specific in bats.",0,0
Warming up for dinner: torpor and arousal in hibernating Natterer's bats (Myotis nattereri) studied by radio telemetry,"The frequency and function of arousals during hibernation in free-living mammals are little known. We used temperature-sensitive radio transmitters to measure patterns of torpor, arousal and activity in wild Natterer's bats Myotis nattereri during hibernation. Duration of torpor bouts ranged from 0.06 to 20.4 days with individual means ranging from 0.9 to 8.9 days. Arousals from torpor occurred most commonly coincident with the time (relative to sunset) typical for bats emerging from summer roosts to forage. Bats with lower body condition indices had a shorter average duration of their torpor bouts. We found a non-linear relationship between duration of torpor bout and ambient temperature: the longest average torpor bouts were at temperatures between 2 and 4A degrees C with shorter bouts at lower and higher ambient temperatures. One individual was radio-tracked for ten nights, remained active for an average of 297 min each night and was active for longer on warmer nights. Our results suggest that vespertilionid bats use relatively short torpor bouts during hibernation in a location with a maritime climate. We hypothesise that Natterer's bats time arousals to maximise opportunities for potential foraging during winter although winter feeding is not the sole determinant of arousal as bats still arouse at times when foraging is unlikely.",1,1
Multi-Scale Assessment of Male Northern Yellow Bat Roost Selection,"Knowledge of roost selection by northern yellow bats (Lasiurus intermedius) is limited to a small number of known roost locations. Yet knowledge of basic life history is fundamental to understanding past response to anthropogenic change and to predict how species will respond to future environmental change. Therefore, we examined male northern yellow bat roost selection on 2 Georgia, USA, barrier islands with different disturbance histories. Sapelo Island has a history of extensive disturbance and is dominated by pine (Pinus spp.) forests; Little Saint Simons Island has a limited disturbance history with maritime oak (Quercus spp.) forest as the dominant cover type. From March-July 2012 and 2013, we radio-tracked 35 adult male northern yellow bats to diurnal roosts and modeled roost characteristics at the plot and landscape scales. We located 387 roosts, of which 95% were in Spanish moss (Tillandsia usneoides) hanging in hardwood trees. On both islands, bats selected roost trees with larger diameters than surrounding trees and selected roost locations with greater open flight space (i.e., low midstory clutter) underneath. Roosts were located farther from open areas on Sapelo and closer to fresh water on Little Saint Simons compared to random locations. Lower availability of hardwood forest on Sapelo may have resulted in small-scale roost site selection (i.e., plot level) despite potential increased costs of commuting to water and open areas for foraging. In contrast, greater availability of hardwood forest on Little Saint Simons likely allowed selection of roosts closer to fresh water, which provides foraging and drinking opportunities. Our results indicate that mature hardwood trees in areas with low midstory clutter are important in male northern yellow bat roost selection, but landscape-level features have varying influences on roost selection, likely as a result of differences in disturbance history. Therefore, management will differ depending on the landscape context. Further research is needed to examine roost selection by females, which may have different habitat requirements. (c) 2020 The Wildlife Society.",1,1
Modified Bat Algorithm for Localization of Wireless Sensor Network,"The problem of node localization in wireless sensor networks aims to assign th e geographical coordinates to each device with unknown position, in the deployment area. In this paper the meta heuristic optimization algorithm known as bat algorithm is described in order to evaluate the precision of node localization problem in wireless sensor networks. Meanwhile the existing bat algorithm has also been modified by using the bacterial foraging strategies of bacterial foraging optimization algorithm. Compared with the existing bat algorithm, the proposed modified bat algorithm is shown through simulations to perform constantly better not only in increasing localization success ratios and fast convergence speed but also enhance its robustness.",0,0
An assessment of radio telemetry for monitoring shorebird chick survival and causes of mortality,"Context. Monitoring survival of free-living precocial avian young is critical for population management, but difficult to achieve. Perhaps the most promising technique available to track survival is the deployment of devices such as radio-transmitters or data loggers, which allow for tracking of the individuals. Aims. To understand if the deployment of radio-transmitters or the process of radio-tracking negatively impact chick survival by analysing survival of tagged chicks. Methods. Fifty masked lapwing (Vanellus miles), 42 red-capped plover (Charadrius ruficapillus) and 27 hooded plover (Thinornis cucullatus) chicks were radio-tracked. Mortality between tagged and untagged chicks within broods was compared to examine whether radio-telemetry influenced chick survival. Key results. There was no statistically significant difference in survival between chicks with and without radio-transmitters. Radio-transmitters enabled the determination of cause of death for 0-28% of radio-tagged chicks. Conclusion. The survival of shorebird chicks does not appear to be affected by attachment of transmitters.",0,0
"Torpor, arousal and activity of hibernating Greater Horseshoe Bats (Rhinolophus ferrumequinum)","1. Patterns of torpor, arousal and activity in free-living Greater Horseshoe Bats, Rhinolophus ferrumequinum (Schreber), were investigated during the hibernation period by using temperature-sensitive radio-transmitters. 2. Torpor bouts varied between 0.1 and 11.8 days, with individual means ranging from 1.3 to 7.4 days. Torpor bout duration decreased with increasing ambient temperature. 3. Activity duration varied from 37 min to 54 h 24 min, with individual means ranging from 2 : 29 to 8 : 58 h. Activity duration increased with ambient temperatures above approximately 10 degreesC. 4. Ten of 11 bats synchronized their arousals with dusk. The circadian rhythm of one bat showed a free-running pattern over a period of about 5 weeks. Arousals were more highly synchronized, and closer to dusk, in individuals with lower body condition. 5. That bats forage in mild weather is supported by the strong synchronization of arousals with dusk, especially in bats with low body condition. 6. Patterns of torpor and subsequent activity are consistent with predictions that torpor lasts until a critical metabolic or water imbalance is achieved. Because metabolism and water loss are temperature-dependent, torpor bout duration decreases with increasing temperature. The imbalance is corrected during subsequent activity, which is relatively constant in duration until a temperature threshold of 10 degreesC, above which increasing levels of foraging lead to longer activity bouts.",1,1
Sensor Node Activation Using Bat Algorithm for Connected Target Coverage in WSNs,"This paper proposes a sensor node activation method using the nature-inspired algorithm (NIA) for the target coverage problem. The NIAs have been used to solve various optimization problems. This paper formulates the sensor target coverage problem into an object function and solves it with an NIA, specifically, the bat algorithm (BA). Although this is not the first attempt to use the BA for the coverage problem, the proposed method introduces a new concept called bat couple which consists of two bats. One bat finds sensor nodes that need to be activated for sensing, and the other finds nodes for data forwarding from active sensor nodes to a sink. Thanks to the bat couple, the proposed method can ensure connectivity from active sensor nodes to a sink through at least one communication path, focusing on the energy efficiency. In addition, unlike other methods the proposed method considers a practical feature of sensing: The detection probability of sensors decreases as the distance from the target increases. Other methods assume the binary model where the success of target detection entirely depends on whether a target is within the threshold distance from the sensor or not. Our method utilizes the probabilistic sensing model instead of the binary model. Simulation results show that the proposed method outperforms others in terms of the network lifetime.",0,1
50years of bat tracking: device attachment and future directions,"Radiotelemetry and satellite-based telemetry approaches are essential to describe the behaviour and biology of animals. This is especially true for bats, whose small size and cryptic lifestyles make them challenging to study. However, only a handful of studies have evaluated how transmitter mass and the attachment method affect bat behaviour or health, and none have assessed the development of technical methods in the field. We review the past 50years of bat tracking studies to determine how devices have been attached, how guidelines have been followed or changed, and whether any health or fitness impacts from these transmitters can be determined. Half of the nearly 300 studies available used devices heavier than the recommended 5% of body mass with minimal justification. Devices were typically glued directly to the backs of small bats and remained attached for 9days. This is far shorter than battery life span of most devices. Little information is available regarding the overall impact of attaching transmitters on the health, survival and reproductive success of bats, and there has been little development in attachment methods since the first tracking studies. We consequently developed a collar for small bats with a degradable weak link and tested it on several species. The collar worked successfully on three of four species. This allows longer habituation and tracking times while ensuring that the device drops off after the battery expires. Future studies will need to invest more effort in assessing potential long-term effects of tracking. They also need to build upon previous knowledge to find the best attachment method, size and shape for their study species to effectively improve wildlife tracking.",0,0
Optimized Sensor Nodes Deployment in Wireless Sensor Network Using Bat Algorithm,"For the optimal performance of wireless sensor networks in different areas of applications needs to maximize the coverage area of sensor nodes. The coverage of sensor nodes in monitoring region can be improved by using efficient node deployment algorithms. In this paper node deployment based on bat algorithm (BA) is proposed to enhance the coverage rate of nodes. Each bat describes solution for deployment of sensor nodes individually. In bat algorithm based node deployment grid points covered by one sensor node are excluded for remaining sensor nodes. The benefit of eliminating the grid points is that the load on remaining nodes is decreased and there is no chance of overlapping i.e. grid point is covered by only one sensor node. The simulations of node deployment based on BA and fruit fly optimization algorithm (FOA) are also demonstrated. In this paper to further increase the coverage rate of sensor nodes the performance of various parameters of bat algorithm such as loudness, pulse emission rate, maximum frequency, grid points and sensing radius has been optimized. The simulation results of node deployment based on optimized bat algorithm are also compared with BA and FOA based node deployment in terms of mean coverage rate, computation time and standard deviation. The coverage rate curve for various numbers of iterations and sensor nodes are also presented for optimized bat algorithm, BA and FOA. The results demonstrate the effectiveness of optimized bat algorithm as it achieved more coverage rate than BA and FOA.",0,0
Bat-Firefly Localization Algorithm for Wireless Sensor Networks,Wireless sensor networks are used in monitoring and control applications. The data gathered by the sensors become meaningful only if the data contains location information. This paper deals with a nature inspired hybrid bat firefly algorithm to predict the localization of the sensor nodes. This is an attempt of collaborating bat algorithm and firefly algorithm to estimate the localization in sensor nodes. Seventy-five percent accuracy is achieved with twenty number of fireflies. The algorithm performs well with better accuracy results as the number of fireflies are increased.,0,0
"Acoustic Lure Allows for Capture of a High-Flying, Endangered Bat","Mist nets are commonly used to capture free-flying bats; however, some bat species are very difficult to capture because of their flight behavior, habitat preferences, and ability to avoid nets. High-flying, open-space foragers are especially underrepresented by mist-net surveys. Few studies have investigated the effectiveness of using acoustic lures (playbacks of conspecific vocalizations) to increase capture success of bats in mist nets. We tested the efficacy of an acoustic lure to capture a high-flying rare molossid, the endangered Florida bonneted bat (Eumops floridanus), which had been captured only once away from a known roost prior to our research. We used a crossover experimental design with 2 lure treatments (nets with lures playing social call recordings from 2 different roosts) and 2 control nets (no lures) in 6 sites for 2 nights each. We captured 15 Florida bonneted bats in our treatment nets and 0 in our control nets. One lure had greater capture success (n=13) than the other (n=2), with a trend for greater captures of males (n=11) than females (n=4). We suggest that these differences were due to the social context in which the calls used in the lures were recorded. Our study demonstrated the utility of acoustic lures to capture Florida bonneted bats and expands research opportunities critical to the species' conservation, such as the ability to use radio telemetry to track captured bats to unknown roosting and foraging areas. Our study also lays the foundation for future research into social call playbacks as a technique to lure other high-flying and elusive bat species into mist nets. (c) 2017 The Wildlife Society.",0,0
RELATEDNESS AND GENETIC STRUCTURE OF BIG BROWN BAT (EPTESICUS FUSCUS) MATERNITY COLONIES IN AN URBAN-WILDLAND INTERFACE WITH PERIODIC RABIES VIRUS OUTBREAKS,"Big brown bats (Eptesicus fuscus) are the bat species in North America most frequently found to be rabid because of their high rate of human contact and thus submissions for rabies testing, of which, 4-5% are positive. The social behavior of big brown bats during the summer months may drive space use and potential viral exposure to conspecifics and mesocarnivores. We collected 88 unique genetic samples via buccal swabs from big brown bats captured at four maternity roosts surrounding a golf course during the summer of 2013. We used seven microsatellite loci to estimate genetic relatedness among individuals and genetic structure within and among colonies to infer whether females selected roosts based on kinship and used genetics and radio telemetry to determine the frequency of roost switching. We found roost switching through genetics and telemetry, and no evidence of elevated genetic relatedness within colonies or genetic structure among colonies. Social cohesion based on relatedness may not act to constrain the pathogen to a particular roost area, and thus, geographic mobility may increase viral exposure of bats in neighboring areas.",1,1
"Roost site selection in pregnant and lactating soprano pipistrelles (Pipistrellus pygmaeus Leach, 1825) at the species northern extreme: the importance of warm and safe roosts","In summer reproducing female bats prefer roosts with temperatures in their thermo neutral zone, but in northern Europe, such roosts may be difficult to find. In this study, summer roost site selection of pregnant and lactating soprano pipistrelles were investigated using radio telemetry (2004-2006) in a fiord landscape with complex topography at the species northern extreme. The soprano pipistrelles' common roost sites were in hollow trees (n = 14), but they also used crevices in rock walls (n = 2) and the attic of one building. The bats exclusively sought out roosts on the north side of the fiord with the slope facing south, where solar irradiation yielded the warmest micro climate. From 2005 to 2014, bat boxes were erected at three sites in the study area. From 2012 to 2014 we only found maternity roosts in such structures, thus there was a clear shift in roost site selection by the soprano pipistrelle in the study area. Man-made structures, such as buildings and bat boxes, provided the warmest cavities, whereas natural cavities did not differ significantly from air temperatures. The bats did not find thermo neutral roosts most of the time, and this should affect the energy budgets, and thus the bats' behaviour. Direct observation of predation at roosts in build-up areas suggests that living close to humans could be costly to bats emerging in daylight conditions. No predation attempts were recorded at roosts in woodland habitats.",1,1
Seasonal variation in home range size of evening bats (Nycticeius humeralis) in an urban environment,"Despite the negative impacts of urbanization on bats, green spaces in urban environments, such as parks, cemeteries, and golf courses, have the potential to provide resources necessary for these animals. Water resources in these areas include natural or semi-natural ponds, streams, and drainage ditches. Such water resources, however, are frequently ephemeral when subject to prolonged periods of high temperatures and low precipitation. We hypothesized that home ranges of evening bats (Nycticeius humeralis) would increase in size or shift from urban green spaces into surrounding neighborhoods to access alternative resources, such as residential swimming pools, when water resources in green spaces are scarce. To explore whether seasonal variations in bat home ranges occurred, we radio-tracked resident evening bats in a local park system during their summer activity period 2017-2019 in Fort Worth, Texas, USA. We used Local Convex Hulls created by associating point locations with their nearest neighbor to estimate home range size, location, and the percentage area that fell within the surrounding neighborhood. We compared these variables to temperature and precipitation using various regression models. We successfully tracked 30 bats over the 3-year period and found a positive correlation between home range size and temperature. Home range sizes increased 6-fold when temperatures exceeded 30 degrees C. Our study indicates the importance of urban neighborhoods surrounding green spaces in providing alternative resources, such as water, for bats. If managed appropriately, these urban areas have the potential to act as oases for bat populations.",1,1
Thermal energetics of male courtship song in a lek-breeding bat,"The use of songs for mate-attraction is common. Intensive songs may indicate high energetic investment, reflecting an individual's resource-holding potential and attractiveness as a prospective mate. Consequently, there can be a direct relationship between song metrics and lifetime reproductive success. While singing is held to be energetically costly, quantitative studies in mammals are lacking. Here, we present an exploratory analysis of energetic costs in a singing bat (Mystacina tuberculata). We recorded the songs of 12 male bats and quantified skin temperature (T-sk) responses using temperature telemetry to estimate energy expenditure. We hypothesised that singing would be energetically costly and predicted correlations between T-sk and song duty cycle and between duty cycle and body size. Contrary to our expectations, we found estimated energetic expenditure while singing to be comparatively low. We also found no relationship between estimated energy expenditure and duty cycle, and neither estimated energy expenditure nor duty cycle was correlated with body size. Our results suggest that energetic costs of singing in bats may be lower than previously assumed, and that song output may convey only limited fitness information. Significance statement Song is commonly used to communicate information related to mate-attraction or territory defence. Some aspects of song production require more energy to produce, making them an honest signal of a singer's investment. While our knowledge of bird song and its relationship to mating success is well developed, a similar understanding regarding mammalian song is severely lacking. Numerous bat species produce song, yet we know little about the energetics of song production in this large and diverse order. Using temperature telemetry, we estimate the costs of singing in a free-living lek-breeding bat. To our knowledge, this is the first study to estimate the energetic costs of song production in a mammal.",1,1
Development of a frequency-modulated ultrasonic sensor inspired by bat echolocation,"Bats have evolved to sense using ultrasonic signals with a variety of different frequency signatures which interact with their environment. Among these signals, those with time-varying frequencies may enable the animals to gather more complex information for obstacle avoidance and target tracking. Taking inspiration from this system, we present the development of a sonar sensor capable of generating frequency-modulated ultrasonic signals. The device is based on a miniature mobile computer, with on board data capture and processing capabilities, which is designed for eventual autonomous operation in a robotic swarm. The hardware and software components of the sensor are detailed, as well their integration. Preliminary results for target detection using both frequency-modulated and constant frequency signals are discussed.",1,0
Roost-site preferences of big brown bats (Eptesicus fuscus) and silver-haired bats (Lasionycteris noctivagans) in the Pend d'Oreille Valley in southern British Columbia,"I examined the roost-site preferences of big brown bats (Eptesicus fuscus) and silver-haired bats (Lasionycteris noctivagans) in the Pend d'Oreille River Valley (POV) in southern British Columbia during the summer of 1995. Roost trees were located via radio-telemetry, then observed at dusk to confirm use and determine colony sizes. I found a total of 27 roost trees used by the two species. Both big brown bats and silver-haired bats preferred large trees (either tail or with a large DBH) that were uncluttered by surrounding trees relative to available trees in the immediate vicinity of the roost, and in other areas of the same stand. Both species preferred trembling aspen. Big brown bats preferred trees in decay stages two and six, whereas silver-haired bats exhibited no decay-stage preferences. When the tree and site characteristics of roost trees used by big brown bats and silver-haired bats were compared, only the height of the tree relative to canopy height discriminated between them. Big brown bats prefer trees that are higher relative to the canopy than silver-haired bats. This information it as used to develop a set of management recommendations for maintaining bat roosting habitat in the POV.",1,1
The activity of an insectivorous bat Neoromicia nana on tracks in logged and unlogged forest in tropical Africa,"Logging activities and the associated creation of roads and tracks can disturb and fragment forests, which may lead to a loss of forest-dependent species and possibly favour nonforest generalists and edge species. The effects of such disturbance are poorly known for African insectivorous bats. We studied the activity patterns of insectivorous bats in a tropical African forest at Kibale National Park, Uganda, using an Anabat bat detector. The echolocation calls of the vespertilionid bat Neoromicia nana were the most frequently detected. This species was most active in the first 5 h after sunset with activity declining rapidly after midnight until sampling finished at 01:00 h. There was no difference in activity of N. nana levels between logged or undisturbed forest; however, this species exhibited higher levels of activity along the wide tracks running through the two forests than either 30 m off these tracks or along the narrow forest trails. The wing morphology and echolocation call of N. nana may be constraining it to flying in uncluttered space on the edge of the forest, penetrating mostly along wider tracks and roads. Further research (in particular radio-telemetry) is required to test and validate these data.Resume",0,0
Adaptive Roosting Gives Little Brown Bats an Advantage over Endangered Indiana Bats,"In recent decades tree roosts of endangered Indiana bats (Myotis sodalis) have been more heavily studied than those of little brown bats (Myotis lucifugus), a much more common sympatric bat species. Motivated by precipitous declines in both species' populations, we attempted to address this inconsistency by comparing the characteristics of these sibling species' roosts. We used radio telemetry to find roosts of adult female bats of both species in two sites in southern Illinois and two sites in south-central Indiana. We then collected data on roost characteristics and bat movements. Little brown bats used more anthropogenic roosts and crevice/cavity roosts than Indiana bats, which used exfoliating bark roosts almost exclusively. Additionally, both species roosted in similar tree genera with similar DBHs (diameter at breast height) and roost heights. However, little brown bats roosted in shorter trees and in bigger clusters (based on emergence counts) than Indiana bats. Both species moved similar distances between roosts. However, little brown bats switched roosts slightly less often than Indiana bats. The potential preference for natural crevice/cavity roosts by little brown bats may have been a pre-adaptation that allowed the species to take advantage of the rapidly growing availability of crevice/cavity mimicking anthropogenic roosts during the spread of Europeans throughout North America.",1,1
Doppler-shift compensation in the Taiwanese leaf-nosed bat (Hipposideros terasensis) recorded with a telemetry microphone system during flight,"Biosonar behavior was examined in Taiwanese leaf-nosed bats (Hipposideros terasensis; CF-FM bats) during flight. Echolocation sounds were recorded using a telemetry microphone mounted on the bat's head. Flight speed and three-dimensional trajectory of the bat were reconstructed from images taken with a dual high-speed video camera system. Bats were observed to change the intensity and emission rate of pulses depending oil the distance from the landing site. Frequencies of the dominant second harmonic constant frequency component (CF2) of calls estimated from the bats' flight speed agreed strongly with observed values. Taiwanese leaf-noscd bats changed CF2 frequencies depending on flight speed, which caused the CF2 frequencies of the Doppler-shifted echoes to remain constant. Pulse frequencies were also estimated using echoes returning directly ahead of the bat and from its sides for two different flight conditions: landing and U-turn. Bats in flight may periodically alter their attended angles from the front to the side when emitting echolocation pulses. (c) 2005 Acoustical Society of America.",1,1
